,Unnamed: 0,csd,dmg,gold,gtime,kda,outcome,ward
0,0.0,253,26324,14229,31.38333333333333,1.2857142857142858,0,20
1,0.0,51,4372,3466,16.433333333333334,0.0,0,5
2,0.0,165,15808,9254,28.08333333333333,0.4615384615384616,0,13
3,0.0,190,18256,11360,38.61666666666667,1.3333333333333333,0,31
4,0.0,194,17876,11679,22.23333333333333,12.0,1,9
5,0.0,107,5515,5828,24.7,0.25,0,11
6,0.0,257,27354,15447,43.83333333333334,2.555555555555556,0,19
7,0.0,129,7984,7952,17.9,10.0,1,8
8,0.0,248,38895,16848,32.86666666666667,2.7142857142857144,1,15
9,0.0,139,24180,12441,28.16666666666667,1.75,1,20
10,0.0,210,13208,10943,26.7,1.8,1,22
11,0.0,202,12859,13043,29.36666666666667,3.5,1,17
12,0.0,160,15879,11454,28.2,1.2857142857142858,1,31
13,0.0,234,33481,19473,37.53333333333333,3.7142857142857135,1,19
14,0.0,68,8860,10211,37.63333333333333,2.6666666666666665,1,74
15,0.0,171,11254,10019,25.3,1.5,0,10
16,0.0,187,21442,12231,33.86666666666667,2.571428571428572,0,30
17,0.0,11,1076,2616,15.416666666666664,0.045454545454545456,0,0
18,0.0,42,9993,10429,27.03333333333333,1.0,0,27
19,0.0,186,20817,11637,27.68333333333333,1.5714285714285714,1,18
20,0.0,219,15042,12075,30.63333333333333,1.8333333333333333,0,16
21,0.0,240,31275,15055,26.53333333333333,5.666666666666668,1,18
22,0.0,165,9606,8835,19.9,4.5,1,8
23,0.0,195,16197,11610,27.766666666666666,1.4285714285714286,0,21
24,0.0,211,13457,13084,31.266666666666666,1.2,1,21
25,0.0,67,9453,10603,35.083333333333336,2.6,1,66
26,0.0,47,8706,8841,28.55,5.25,1,52
27,0.0,257,17698,14871,42.583333333333336,1.3333333333333333,1,41
28,0.0,183,14594,13590,25.05,2.833333333333333,1,15
29,0.0,77,16419,13660,28.83333333333333,5.0,0,24
30,0.0,237,32651,14363,32.85,1.0,1,22
31,0.0,71,7501,7099,28.65,2.0,0,55
32,0.0,220,22483,14606,27.16666666666667,17.0,1,20
33,0.0,205,14045,12571,24.066666666666666,5.333333333333333,1,9
34,0.0,138,8116,8636,21.35,3.0,1,16
35,0.0,67,11813,11820,31.66666666666667,5.2,1,54
36,0.0,177,21181,12506,30.18333333333333,4.0,1,21
37,0.0,293,33843,16290,35.1,3.75,0,31
38,0.0,308,40112,20849,46.05,2.5,0,31
39,0.0,80,7852,6407,25.7,0.2,0,11
40,0.0,214,27319,15161,38.05,1.0666666666666669,0,30
41,0.0,205,34571,14775,32.61666666666667,4.0,1,21
42,0.0,214,27696,12620,35.85,1.5714285714285714,0,23
43,0.0,48,10863,13554,30.15,7.0,1,20
44,0.0,42,17264,11083,30.73333333333333,3.8,0,51
45,0.0,61,13732,7371,27.266666666666666,3.2,0,45
46,0.0,33,9645,8766,37.05,2.2857142857142856,0,97
47,0.0,69,11699,9017,31.8,4.0,1,69
48,0.0,61,12568,9977,33.53333333333333,3.0,1,71
49,0.0,197,14483,12114,30.16666666666667,1.8333333333333333,0,23
50,0.0,40,9419,12760,29.33333333333333,2.333333333333333,1,24
51,0.0,314,45942,21678,47.26666666666666,3.0,0,58
52,0.0,171,21026,8401,25.58333333333333,2.0,0,22
53,0.0,83,7603,8021,32.8,1.2,0,74
54,0.0,31,3759,5076,17.683333333333334,2.5,1,25
55,0.0,69,12451,7740,28.8,2.2857142857142856,0,31
56,0.0,53,29944,15312,39.4,4.8,1,39
57,0.0,29,9885,9835,30.03333333333333,1.0,0,38
58,0.0,50,13803,9205,26.98333333333333,1.7142857142857142,0,19
59,0.0,73,10255,9960,30.466666666666665,3.5,1,27
60,0.0,23,7349,6588,22.65,2.75,1,21
61,0.0,4,2621,5526,13.666666666666664,3.5,1,7
62,0.0,59,11764,9867,28.73333333333333,2.571428571428572,0,56
63,0.0,242,18531,14120,38.86666666666667,1.5,0,45
64,0.0,222,26539,14263,33.85,2.625,1,20
65,0.0,170,23460,12543,28.85,1.2222222222222223,0,13
66,0.0,111,9976,7040,24.0,1.0,0,8
67,0.0,148,11814,6346,22.5,0.0,0,9
68,0.0,199,20583,10938,35.166666666666664,1.5,0,20
69,0.0,240,17746,11398,30.316666666666666,1.0,0,21
70,0.0,208,14240,10428,26.16666666666667,1.0,0,15
71,0.0,179,23485,12429,28.5,4.333333333333333,1,16
72,0.0,202,16911,11336,30.766666666666666,5.0,1,22
73,0.0,172,17908,9589,25.566666666666666,5.5,1,27
74,0.0,193,18181,12261,30.15,2.4,1,12
75,0.0,181,11485,9941,25.55,2.25,0,7
76,0.0,67,7059,9208,31.2,4.75,1,55
77,0.0,228,24957,14338,42.21666666666667,0.9444444444444444,0,20
78,0.0,211,19243,13355,34.7,2.333333333333333,0,21
79,0.0,108,15774,7510,31.0,0.35714285714285715,0,30
80,0.0,271,18799,13249,37.016666666666666,3.0,0,17
81,0.0,235,46076,18982,34.28333333333333,2.0,0,24
82,0.0,224,20420,12097,29.65,1.8333333333333333,0,13
83,0.0,148,5330,9095,19.766666666666666,5.0,1,16
0,,224,20420,12097,29.65,1.8333333333333333,0,13
0,,148,5330,9095,19.766666666666666,5.0,1,16
0,,198,30267,16560,32.1,5.0,1,34
0,,160,15394,11232,27.7,2.5,1,14
0,,230,33504,18458,36.86666666666667,2.7142857142857144,1,23
0,,178,13898,9977,26.233333333333334,1.8333333333333333,0,10
0,,217,25406,14142,32.083333333333336,3.25,1,22
0,,288,30539,14858,44.56666666666667,3.8,0,36
0,,188,20503,13292,29.933333333333334,1.6,0,18
0,,207,13621,11175,30.666666666666668,1.8571428571428572,0,17
0,,426,32580,24010,45.85,3.0,0,19
0,,189,12154,9990,26.466666666666665,1.5,0,13
0,,163,10334,8330,21.35,6.0,1,22
0,,204,16657,13512,32.85,2.5,1,19
0,,16,554,1002,3.2666666666666666,0.0,0,0
0,,10,4538,9014,20.5,3.3333333333333335,1,27
0,,39,16167,11545,30.35,1.4285714285714286,0,34
0,,58,14368,12033,28.133333333333333,2.3333333333333335,0,16
0,,10,6564,9058,15.916666666666666,10.0,1,8
0,,363,28031,21249,46.03333333333333,3.0,0,53
0,,46,11211,9878,29.366666666666667,0.7777777777777778,0,22
0,,75,12693,11172,31.183333333333334,0.375,1,17
0,,9,7974,9282,28.933333333333334,1.4285714285714286,1,31
0,,254,34316,13169,33.583333333333336,3.142857142857143,0,18
0,,265,30475,17460,37.81666666666667,2.8333333333333335,1,42
0,,194,14123,10345,26.966666666666665,1.0,0,15
0,,213,11429,13133,34.833333333333336,1.6666666666666667,1,24
0,,251,20380,12821,35.38333333333333,3.0,0,27
0,,180,13539,12244,27.266666666666666,3.0,1,16
0,,201,19741,14790,33.1,3.5,1,22
0,,268,27421,14429,37.56666666666667,3.5,1,22
0,,340,49585,23267,44.6,3.5,1,29
0,,177,6848,8471,23.933333333333334,0.8333333333333334,0,23
0,,144,9984,7517,19.7,0.5,0,9
0,,180,14206,10221,30.083333333333332,0.1111111111111111,1,17
0,,166,11219,9281,30.083333333333332,0.5555555555555556,0,17
0,,143,13899,7588,27.816666666666666,0.25,0,14
0,,319,31730,17939,40.96666666666667,2.3333333333333335,1,37
0,,262,16193,12516,35.78333333333333,3.6666666666666665,1,26
0,,266,23518,15275,31.283333333333335,6.0,1,37
0,,202,7167,9935,26.0,1.6666666666666667,0,22
